name,packageId
天堂W,com.ncsoft.lineagew
天堂M,com.gamania.lineagem
星城Online,game.xin.hd.g
Garena 傳說對決,com.garena.game.kgtw
絕世仙王,com.tg.jsxwtw.gp
奧丁 : 神叛,com.kakaogames.twodin
少女迴戰,com.onemt.and.shtwn
機動戰姬,com.komoe.arterygear
放肆武林,com.wlgt.bd
大福娛樂城-全球國際老虎機拉霸賭城,com.grandegames.slots.dafu.casino
天堂2M,com.ncsoft.lineage2mtw
秘境傳說：神木遺跡,com.slsm.sy.and
包你發娛樂城 -王識賢 曾莞婷唯一推薦老虎機、捕魚機、百家樂,com.jumbo.yirufa
滿貫大亨,com.igs.TMD
Coin Master,com.moonactive.coinmaster
一個官人一個妻,com.heyyogame.gd
老子有錢,com.more.laozi
金好運娛樂城,com.goodluck777.panther
麻將 神來也麻將,com.godgame.mj.android
麻將 明星3缺1麻將,com.igs.mjstar31
原神,com.miHoYo.GenshinImpact
三國志・戰略版,com.sialiagames.sgzzlb.gp.tw
雲上城之歌,com.tg.ysczgm.gp
糖果傳奇,com.king.candycrushsaga
永夜星神,com.jiulsheny.gptw
拉斯維加斯娛樂城,com.userjoy.LetsVegasSlots
蟻族奇兵AntWars,com.tw2022.antgp
超異域公主連結！Re:Dive,tw.sonet.princessconnect
Pokémon GO,com.nianticlabs.pokemongo
叫我官老爺,com.szckhd.jwgly.azfanti
末日喧囂 × G.I. Joe 特種部隊,com.global.ztmslgtw
RO仙境傳說,com.play.rogt
叫我大掌櫃,com.gm99.dzg
上古傳奇-神話宇宙,com.tenyu.mmz.an
豪神娛樂城,com.finger.hsgame
英雄征戰,com.nexters.herowars
雀魂麻將,com.soulgamechst.majsoul
錢街Online,com.Tonwa.Cash7
模型少女AWAKE,com.komoe.figurestorygp
明日之後,com.netease.mrzhtw
道士出觀,com.taoist.gp
極無雙2,com.newtypegames.dl2hmt
蔚藍檔案,com.nexon.bluearchive
一念逍遙,com.ltgames.android.m71.tw
LINE,jp.naver.line.android
火線出擊 Online: 戰爭遊戲 射擊遊戲 網絡遊戲,com.gamedevltd.modernstrike
球球英雄：鎧甲集結,com.hktd.az.fklzjp
黑色沙漠 MOBILE,com.pearlabyss.blackdesertm.tw2
重裝戰姬-Final Gear,com.komoe.zzgp
砰砰法師,com.habby.punball
永恆冒險,tw.txwy.and.grandchase
Mobile Legends: Bang Bang,com.mobile.legends
守望傳說 Guardian Tales,com.kakaogames.gdts
弓箭傳說,com.habby.archero
崩壞3rd,com.miHoYo.bh3tw
獵鷹隊：銀河攻擊-經典射擊遊戲,invaders.os.galaxy.space.shooter.attack.classic
Pokémon UNITE,jp.pokemon.pokemonunite
香腸派對,com.GlobalSoFunny.Sausage
部落衝突:皇室戰爭「Clash Royale」,com.supercell.clashroyale
我帶兵最牛,com.okgame.wdbzn.gp
七號堡壘,com.more.lastfortress.gp
希望M,com.playwith.sealm.tw.googl
Apex 英雄M 台灣版,com.levelinfinite.apexlegendsmobile
新劍俠世界3,com.mover.twjxsj
劍俠情緣R,vnggames.jxqy.swordsman.twhk
大俠客—濟公降世,com.rxsj.ssjj
天諭,com.icantw.ty
馭劍江湖,com.yujianand.hk
天涯明月刀 M - Garena,com.garena.game.mbmtw
新仙俠：起源—不養蟲，真養龍,com.tw2021.qyjgp
奇蹟MU：正宗續作,com.ourpalm.mu3.gp.tw
天地劫,com.gamebeans.tdj
我當校長超勇的,com.wydxzcs.tw.gp
歡樂大東家,com.lets.psan.hwft
叫我官老爷 - 原创宫廷模拟当官手游,com.szckhd.jwgly.azjianti
天子傳奇S,com.chinesegamer.tzsan
新射鵰群俠傳之鐵血丹心,com.supernova.shediao.gp.gp
DC英雄:放置聯盟,com.vulcan.a02i
一拳超人：最強之男（官方正版授權）,com.onepunchman.ggplay.tw
戰火勛章,com.lilithgames.wgame.android.tw
《暗黑破壞神 永生不朽》,com.blizzard.diablo.immortal
跑跑卡丁車 Rush+,com.nexon.kart
Garena 極速領域：歡慶3週年,com.garena.game.fctw
楓之谷M,com.nexon.maplem.global
七騎士2,com.netmarble.sk2gb
哈利波特：魔法覺醒,com.netease.harrypotter.tw
《爐石戰記》,com.blizzard.wtcg.hearthstone
口袋奇兵-超休閒的策略遊戲,com.topwar.gp
全民Party,com.haochang.party
九天訣—馬上來戰,com.indie.zll2.google.ft
三國志 霸道,jp.co.koeitecmo.Mighttc
浪LIVE - 歌唱才藝直播平台,com.lang.lang
魔靈召喚: 天空之役,com.com2us.smon.normal.freefull.google.kr.android.common
魔靈召喚：失落的世紀,com.com2us.lostcenturia.android.google.global.normal
未來之役 Mobile,com.pubg.newstate
列王的紛爭(Clash of Kings),com.hcg.cok.gp
iPair 直播聊天交友軟體,com.ipart.android
Chronicle of Infinity,com.emagroups.lod2
Twitch：Live 遊戲實況,tv.twitch.android.app
EA SPORTS™ FIFA 22 Companion,com.ea.gp.fifaultimate
劍靈：革命,com.netmarble.bnsmasia
17LIVE - Live Streaming 直播互動平台,com.machipopo.media17
MLB：9局職棒22,com.com2us.ninepb3d.normal.freefull.google.global.android.common
跑跑薑餅人：烤箱大逃亡,com.devsisters.gb
薑餅人王國,com.devsisters.ck
Lita陪玩-陪你開黑交友玩遊戲,com.funbit.android
帶帶陪玩 - 陪你一起玩遊戲,com.jzsf.qiudai
7CPLAY (傾心陪玩),tw.com.sevencplay
新三國志手機版-光榮特庫摩授權,com.bbgame.sgzapk.tw
第五人格,com.netease.idv_tw.googleplay
煙雨江湖,com.wuxia.novastar
域外行者,com.ywxzgg.sm
一代軍師M,com.gacraze.fhsbz
菇島三人行,tw.haoplay.game.and.snmxw
